"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"28","2023-00004351","dwi/dui","NA","arrest","2023-01-13","23667","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Stopping, Standing, Parking) on veh. crossing or highway when prohibited; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-01-13"
"29","2023-00004417","title ix incident non criminal","NA","investigation pending","2023-01-10","NA","NA","NA","NA","NA"
"30","2023-00004431","other incident","NA","cbe","2023-01-13","NA","NA","NA","NA","NA"
"31","2023-00004784","traffic offense","NA","cbe","2023-01-14","NA","NA","NA","NA","NA"
"32","2023-00005136","emergency petition","NA","cbe","2023-01-15","NA","NA","NA","NA","NA"
"33","2023-00005206","cds violation","NA","active/pending","2023-01-15","NA","NA","NA","NA","NA"
"34","2023-00005441","dept property damage/loss","NA","cbe","2023-01-14","NA","NA","NA","NA","NA"
"35","2023-00005501","recovered stolen property","NA","arrest","2023-01-16","23668","Theft Less Than $100 From Motor Vehicle","black","male","2023-01-16"
"36","2023-00005548","traffic offense","NA","arrest","2023-01-16","23861","Knowingly driving uninsured vehicle","black","male","2023-07-20"
"37","2023-00005738","injured/sick person","NA","cbe","2023-01-17","NA","NA","NA","NA","NA"
"38","2023-00005820","other incident","NA","cbe","2023-01-14","NA","NA","NA","NA","NA"
"39","2023-00005853","fraud","NA","investigation pending","2023-01-17","NA","NA","NA","NA","NA"
"40","2023-00005877","injured/sick person","NA","cbe","2023-01-17","NA","NA","NA","NA","NA"
"41","2023-00006163","emergency petition","NA","cbe","2023-01-18","NA","NA","NA","NA","NA"
"42","2023-00006389","theft","NA","arrest","2023-01-19","23849","THEFT: $100 TO UNDER $1,500-Shoplifting","black","male","2023-07-10"
"43","2023-00006405","injured/sick person","NA","cbe","2023-01-19","NA","NA","NA","NA","NA"
"44","2023-00006506","vandalism","NA","active/pending","2023-01-19","NA","NA","NA","NA","NA"
"45","2023-00006535","suspicious activity","NA","active/pending","2023-01-09","NA","NA","NA","NA","NA"
"46","2023-00006818","other incident","NA","active/pending","2023-01-20","NA","NA","NA","NA","NA"
"47","2023-00006884","suspicious person/auto","NA","cbe","2023-01-20","NA","NA","NA","NA","NA"
"48","2023-00006990","dwi/dui","NA","arrest","2023-01-20","23671","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-01-20"
"49","2023-00007132","suspicious person/auto","NA","cbe","2023-01-21","NA","NA","NA","NA","NA"
"50","2023-00007393","theft","NA","arrest","2023-01-22","23672","Theft Less Than $100 Shoplifting","black","male","2023-01-22"
"51","2023-00007486","theft","NA","arrest","2022-12-17","23730","THEFT: $100 TO UNDER $1,500-From Building; Unauth Removal of Property","white","female","2023-02-28"
"52","2023-00007637","injured/sick person","NA","cbe","2023-01-23","NA","NA","NA","NA","NA"
"53","2023-00007777","injured/sick person","NA","cbe","2023-01-23","NA","NA","NA","NA","NA"
"54","2023-00007810","suspicious activity","NA","cbe","2023-01-23","NA","NA","NA","NA","NA"
"55","2023-00007820","theft","NA","arrest","2023-01-20","23810","THEFT: $1,500 TO UNDER $25,000-From Motor Vehicle","black","male","2023-05-11"
"56","2023-00007846","vandalism","NA","investigation pending","2023-01-21","NA","NA","NA","NA","NA"
"57","2023-00008054","other incident","NA","cbe","2023-01-24","NA","NA","NA","NA","NA"
"58","2023-00008060","theft","NA","arrest","2023-01-23","23842","Credit Card/Another Charge Less Than $100; Credit Card: Steal Another's; Theft Less Than $100","black","male","2023-07-19"
"59","2023-00008094","theft","NA","arrest","2023-01-24","23677","School Trespassing On Ground; Theft Less Than $100","white","male","2023-01-25"
"60","2023-00008095","theft","NA","active/pending","2022-12-19","NA","NA","NA","NA","NA"
"61","2023-00008101","theft","NA","investigation pending","2022-12-19","NA","NA","NA","NA","NA"
"62","2023-00008118","theft","NA","active/pending","2022-12-19","NA","NA","NA","NA","NA"
"63","2023-00008142","injured/sick person","NA","cbe","2023-01-24","NA","NA","NA","NA","NA"
"64","2023-00008143","theft","NA","active/pending","2022-12-19","NA","NA","NA","NA","NA"
"65","2023-00008386","injured/sick person","NA","cbe","2023-01-25","NA","NA","NA","NA","NA"
"66","2023-00008416","theft","NA","investigation pending","2022-12-31","NA","NA","NA","NA","NA"
"67","2023-00008420","other incident","NA","cbe","2023-01-25","NA","NA","NA","NA","NA"
"68","2023-00008423","theft","NA","arrest","2023-01-25","23673","School Trespassing On Ground; Theft Less Than $100 Shoplifting","white","male","2023-01-25"
"69","2023-00008464","injured/sick person","NA","cbe","2023-01-25","NA","NA","NA","NA","NA"
"70","2023-00008465","identity theft","NA","investigation pending","2023-01-15","NA","NA","NA","NA","NA"
"71","2023-00008472","dwi/dui","NA","arrest","2023-01-25","23675","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","black","male","2023-01-25"
"72","2023-00008493","theft","NA","investigation pending","2023-01-25","NA","NA","NA","NA","NA"
"73","2023-00008659","damage to state property","NA","cbe","2023-01-20","NA","NA","NA","NA","NA"
"74","2023-00008663","theft","NA","investigation pending","2022-12-02","NA","NA","NA","NA","NA"
"75","2023-00008818","injured/sick person","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"76","2023-00008832","dwi/dui","NA","arrest","2023-01-27","23674","(Driving, Attempting to drive) veh. while impaired by alcohol; Failure to equip veh. with required rear stop lamp; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property; Willfully driving motor veh. at slow speed impeding normal and reasonable trafffic movement","black","male","2023-01-27"
"77","2023-00008912","injured/sick person","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"78","2023-00008928","cds violation","NA","active/pending","2023-01-27","NA","NA","NA","NA","NA"
"79","2023-00008935","assist other agency","robbery","cbe","2023-01-27","NA","NA","NA","NA","NA"
"80","2023-00009008","injured/sick person","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"81","2023-00009076","assist other agency","assault","cbe","2023-01-27","NA","NA","NA","NA","NA"
"82","2023-00009157","emergency petition","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"83","2023-00009160","damaged property","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"84","2023-00009244","injured/sick person","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"85","2023-00009271","injured/sick person","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"86","2023-00009343","injured/sick person","NA","cbe","2023-01-28","NA","NA","NA","NA","NA"
"87","2023-00009346","injured/sick person","NA","cbe","2023-01-28","NA","NA","NA","NA","NA"
"88","2023-00009357","injured/sick person","NA","cbe","2023-01-28","NA","NA","NA","NA","NA"
"89","2023-00009664","injured/sick person","NA","cbe","2023-01-29","NA","NA","NA","NA","NA"
"90","2023-00009787","theft","NA","unfounded","2023-01-26","NA","NA","NA","NA","NA"
"91","2023-00009998","injured/sick person","NA","cbe","2023-01-30","NA","NA","NA","NA","NA"
"92","2023-00010154","vandalism","NA","investigation pending","2023-01-29","NA","NA","NA","NA","NA"
"93","2023-00010172","vandalism","NA","active/pending","2023-01-27","NA","NA","NA","NA","NA"
"94","2023-00010178","emergency petition","NA","cbe","2023-01-30","NA","NA","NA","NA","NA"
"95","2023-00010247","pedestrian struck","NA","cbe","2023-01-30","NA","NA","NA","NA","NA"
"96","2023-00010508","animal complaint","NA","cbe","2023-01-31","NA","NA","NA","NA","NA"
"97","2023-00010514","injured/sick person","NA","cbe","2023-01-31","NA","NA","NA","NA","NA"
"98","2023-00010516","injured/sick person","NA","cbe","2023-01-31","NA","NA","NA","NA","NA"
"99","2023-00010535","other incident","NA","active/pending","2023-01-31","NA","NA","NA","NA","NA"
"100","2023-00010585","extortion","NA","active/pending","2023-01-31","NA","NA","NA","NA","NA"
"101","2023-00010598","suspicious person/auto","NA","cbe","2023-01-31","NA","NA","NA","NA","NA"
"102","2023-00010631","assist other agency, 4300 block of  knox  rd","title ix incident non criminal, NA","cbe, 4300 block of  knox  rd","2023-01-31, NA","NA","NA","NA","NA","NA"
"103","2023-00010807","disorderly conduct","NA","cbe","2023-02-01","NA","NA","NA","NA","NA"
"104","2023-00010816","trespassing","NA","arrest","2023-02-01","23676","School Trespassing/Refuse to leave buidling; Trespass-Posted Property; Trespass: Private Property","black","male","2023-02-01"
"105","2023-00010833","theft","NA","active/pending","2023-01-31","NA","NA","NA","NA","NA"
"106","2023-00010834","theft","NA","investigation pending","2023-01-30","NA","NA","NA","NA","NA"
"107","2023-00010872","theft","NA","arrest","2023-02-01","23731","THEFT: $100 TO UNDER $1,500-Shoplifting","white","male","2023-03-27"
"108","2023-00010922","emergency petition","NA","cbe","2023-02-01","NA","NA","NA","NA","NA"
"109","2023-00011019","emergency petition","NA","cbe","2023-02-02","NA","NA","NA","NA","NA"
"110","2023-00011162","emergency petition","NA","cbe","2023-02-02","NA","NA","NA","NA","NA"
"111","2023-00011168","injured/sick person","NA","cbe","2023-01-27","NA","NA","NA","NA","NA"
"112","2023-00011179","injured/sick person","NA","cbe","2023-02-02","NA","NA","NA","NA","NA"
"113","2023-00011196","injured/sick person","NA","cbe","2023-02-01","NA","NA","NA","NA","NA"
"114","2023-00011217","injured/sick person","NA","cbe","2023-02-02","NA","NA","NA","NA","NA"
"115","2023-00011370","dwi/dui","NA","arrest","2023-02-03","23679","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Displaying expired registration plates(s) issued by any state; Driver failure to obey properly placed traffic control device instructions; Driving veh. on hwy. with suspended registration; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-03"
"116","2023-00011503","theft","NA","investigation pending","2023-01-12","NA","NA","NA","NA","NA"
"117","2023-00011687","indecent exposure (title ix related)","NA","investigation pending","2023-02-03","NA","NA","NA","NA","NA"
"118","2023-00011695","injured/sick person","NA","cbe","2023-02-04","NA","NA","NA","NA","NA"
"119","2023-00012032","injured/sick person","NA","cbe","2023-02-05","NA","NA","NA","NA","NA"
"120","2023-00012059","dwi/dui","NA","arrest","2023-02-05","23682","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Causing standing veh. to obstruct free veh. passage of roadway; Failure to display registration card upon demand by police officer; Failure to drive designated one way direction on posted roadway; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-05"
"121","2023-00012071","cds violation","NA","arrest","2023-02-05","23683","ASSAULT WEAPON POSS/SELL; CDS POSS W/INT TO DIST; CDS: POSS PARAPHERNALIA; CDS: POSS-CANNABIS OVER CIVIL USE; CDS: Posssion of Firearms; Dangerous Weapon on School Prop; DETACH MAG OVER 10 RNDS; Handgun On Person; Loaded Handgun in Vehicle; Loaded Handgun on Person; Smoking Cannabis in Public","black","male","2023-02-05"
"122","2023-00012242","cds violation","NA","cbe","2023-02-05","NA","NA","NA","NA","NA"
"123","2023-00012258","trespassing","NA","active/pending","2023-02-05","NA","NA","NA","NA","NA"
"124","2023-00012308","injured/sick person","NA","cbe","2023-02-05","NA","NA","NA","NA","NA"
"125","2023-00012401","injured/sick person","NA","cbe","2023-02-06","NA","NA","NA","NA","NA"
"126","2023-00012447","vandalism","NA","active/pending","2023-02-03","NA","NA","NA","NA","NA"
"127","2023-00012451","injured/sick person","NA","cbe","2023-02-06","NA","NA","NA","NA","NA"
"128","2023-00012550","emergency petition","NA","cbe","2023-02-06","NA","NA","NA","NA","NA"
"129","2023-00012570","injured/sick person","NA","cbe","2023-02-06","NA","NA","NA","NA","NA"
"130","2023-00012733","assist other agency","other","cbe","2023-02-07","NA","NA","NA","NA","NA"
"131","2023-00012833","theft","NA","arrest","2023-02-07","23785","THEFT: $100 TO UNDER $1,500-Shoplifting","black","male","2023-04-28"
"132","2023-00012858","dept property damage/loss","NA","active/pending","2023-02-06","NA","NA","NA","NA","NA"
"133","2023-00012860","theft","NA","arrest","2023-02-06","23793","THEFT: $100 TO UNDER $1,500-Bicycle","black","male","2023-05-19"
"134","2023-00012861","assist other agency","check on the welfare","active/pending","2023-02-07","NA","NA","NA","NA","NA"
"135","2023-00012927","suspicious activity (title ix related)","NA","active/pending","2023-02-07","NA","NA","NA","NA","NA"
"136","2023-00013031","injured/sick person","NA","cbe","2023-02-08","NA","NA","NA","NA","NA"
"137","2023-00013165","vandalism","NA","active/pending","2023-02-01","NA","NA","NA","NA","NA"
"138","2023-00013169","theft","NA","investigation pending","2023-01-23","NA","NA","NA","NA","NA"
"139","2023-00013180","stolen motor vehicle","NA","investigation pending","2023-02-07","NA","NA","NA","NA","NA"
"140","2023-00013192","stolen motor vehicle","NA","active/pending","2023-02-01","NA","NA","NA","NA","NA"
"141","2023-00013202","theft","NA","arrest","2023-02-08","23832","School Trespassing On Ground, Theft Less Than $100, Unauth Removal of Property","black","male","2023-07-12"
"142","2023-00013465","assist other agency","check on the welfare","cbe","2023-02-09","NA","NA","NA","NA","NA"
"143","2023-00013489","assault","NA","cbe","2023-02-09","NA","NA","NA","NA","NA"
"144","2023-00013543","fire","NA","cbe","2023-02-09","NA","NA","NA","NA","NA"
"145","2023-00013892","injured/sick person","NA","cbe","2023-02-10","NA","NA","NA","NA","NA"
"146","2023-00013903","stolen motor vehicle","NA","arrest","2023-02-09","23833","MOTOR VEHICLE/UNLAWFUL TAKING, School Trespassing On Ground, THEFT: $1,500 TO UNDER $25,000-All Other, Unauth Removal of Motor Vehicle","black","male","2023-07-12"
"147","2023-00013990","theft","NA","active/pending","2023-02-03","NA","NA","NA","NA","NA"
"148","2023-00013991","other incident","NA","cbe","2023-02-10","NA","NA","NA","NA","NA"
"149","2023-00014148","injured/sick person","NA","cbe","2023-02-11","NA","NA","NA","NA","NA"
"150","2023-00014158","cds violation","NA","arrest","2023-02-11","23692","CDS:Possession Cannabis-Personal Amount","black","male","2023-02-11"
"151","2023-00014159","injured/sick person","NA","cbe","2023-02-11","NA","NA","NA","NA","NA"
"152","2023-00014222","dwi/dui","NA","arrest","2023-02-11","23685","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; CDS:Possession Cannabis-Personal Amount; Failure of individual driving on hwy. to display lic. to uniformed police on demand; Failure to display tab on plates of veh. as required by Adm; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-11"
"153","2023-00014417","dwi/dui","NA","arrest","2023-02-11","23681","(Driving, Attempting to drive) veh. while under the influence of alcohol","black","male","2023-02-11"
"154","2023-00014428","vandalism","NA","active/pending","2023-02-11","NA","NA","NA","NA","NA"
"155","2023-00014441","disorderly conduct","NA","arrest","2023-02-11","23684","Urinating or Defecating in Public","","","2023-02-11"
"156","2023-00014447","injured/sick person","NA","cbe","2023-02-11","NA","NA","NA","NA","NA"
"157","2023-00014530","dwi/dui","NA","arrest","2023-02-12","23686","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","white","male","2023-02-12"
"158","2023-00014632","injured officer","NA","cbe","2023-02-07","NA","NA","NA","NA","NA"
"159","2023-00014687","accident","NA","cbe","2023-02-12","NA","NA","NA","NA","NA"
"160","2023-00014724","injured/sick person","NA","cbe","2023-02-13","NA","NA","NA","NA","NA"
"161","2023-00014774","damage to state property","NA","active/pending","2023-02-10","NA","NA","NA","NA","NA"
"162","2023-00014912","theft","NA","investigation pending","2023-02-13","NA","NA","NA","NA","NA"
"163","2023-00014949","suspicious activity","NA","cbe","2023-02-08","NA","NA","NA","NA","NA"
"164","2023-00014956","theft","NA","active/pending","2023-02-13","NA","NA","NA","NA","NA"
"165","2023-00014957","theft","NA","arrest","2023-02-10","23834","School Trespassing On Ground, THEFT SCHEME: $1,500 TO UNDER $25,000-Bicycle, Unauth Removal of Property","black","male","2023-07-12"
"166","2023-00014992","indecent exposure (title ix related)","NA","arrest","2023-02-13","23689","Indecent Exposure; School Trespassing On Ground","black","male","2023-02-13"
"167","2023-00015040","dwi/dui","NA","arrest","2023-02-14","23691","(Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-14"
"168","2023-00015101","suspicious activity","NA","cbe","2023-02-10","NA","NA","NA","NA","NA"
"169","2023-00015102","damage to state property","NA","cbe","2023-02-14","NA","NA","NA","NA","NA"
"170","2023-00015111","fraud","NA","investigation pending","2023-02-01","NA","NA","NA","NA","NA"
"171","2023-00015114","suspicious activity","NA","cbe","2023-02-09","NA","NA","NA","NA","NA"
"172","2023-00015123","other incident","NA","cbe","2023-02-09","NA","NA","NA","NA","NA"
"173","2023-00015136","suspicious activity","NA","unfounded","2023-02-14","NA","NA","NA","NA","NA"
"174","2023-00015165","injured/sick person","NA","cbe","2023-02-14","NA","NA","NA","NA","NA"
"175","2023-00015185","theft","NA","investigation pending","2023-02-14","NA","NA","NA","NA","NA"
"176","2023-00015220","injured/sick person","NA","cbe","2023-02-14","NA","NA","NA","NA","NA"
"177","2023-00015275","dwi/dui","NA","arrest","2023-02-15","23687","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver failure to obey properly placed traffic control device instructions; Driving veh. in excess of reasonable and prudent speed on hwy.; Driving veh. on hwy. at speed exceeding speed limit by 10 to 19 mph.; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Person driving motor veh. on (hwy., public use property) on suspended lic. and privilege; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-15"
"178","2023-00015332","theft","NA","investigation pending","2023-02-15","NA","NA","NA","NA","NA"
"179","2023-00015378","theft","NA","investigation pending","2023-02-15","NA","NA","NA","NA","NA"
"180","2023-00015400","theft","NA","investigation pending","2023-02-11","NA","NA","NA","NA","NA"
"181","2023-00015432","suspicious activity","NA","cbe","2023-02-15","NA","NA","NA","NA","NA"
"182","2023-00015436","fraud","NA","unfounded","2023-02-03","NA","NA","NA","NA","NA"
"183","2023-00015499","emergency petition","NA","cbe","2023-02-15","NA","NA","NA","NA","NA"
"184","2023-00015616","assist other agency","other","cbe","2023-02-16","NA","NA","NA","NA","NA"
"185","2023-00015633","other incident","NA","cbe","2023-02-14","NA","NA","NA","NA","NA"
"186","2023-00015661","suspicious activity","NA","cbe","2023-02-16","NA","NA","NA","NA","NA"
"187","2023-00015674","emergency petition","NA","cbe","2023-02-16","NA","NA","NA","NA","NA"
"188","2023-00015679","emergency petition","NA","cbe","2023-02-16","NA","NA","NA","NA","NA"
"189","2023-00015704","injured/sick person","NA","cbe","2023-02-16","NA","NA","NA","NA","NA"
"190","2023-00015742","assault","NA","cbe","2023-02-16","NA","NA","NA","NA","NA"
"191","2023-00015744","injured/sick person","NA","cbe","2023-02-16","NA","NA","NA","NA","NA"
"192","2023-00015770","vandalism","NA","investigation pending","2023-02-16","NA","NA","NA","NA","NA"
"193","2023-00015832","dwi/dui","NA","arrest","2023-02-17","23688","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driver fail to stop at steady circular red signal; Driving veh. on hwy. with suspended registration; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-17"
"194","2023-00015865","weapon violation","NA","arrest","2023-02-17","23693","Handgun in Vehicle; Handgun On Person; Loaded Handgun in Vehicle; Loaded Handgun on Person","black","male","2023-02-17"
"195","2023-00015976","theft","NA","investigation pending","2023-02-16","NA","NA","NA","NA","NA"
"196","2023-00015994","suspicious activity","NA","cbe","2023-02-15","NA","NA","NA","NA","NA"
"197","2023-00016079","theft","NA","arrest","2023-02-17","23835","School Trespassing On Ground, THEFT: $100 TO UNDER $1,500-Bicycle, Unauth Removal of Property","black","male","2023-07-12"
"198","2023-00016087","injured/sick person","NA","cbe","2023-02-17","NA","NA","NA","NA","NA"
"199","2023-00016127","injured/sick person","NA","cbe","2023-02-17","NA","NA","NA","NA","NA"
"200","2023-00016210","injured/sick person","NA","cbe","2023-02-17","NA","NA","NA","NA","NA"
"201","2023-00016216","dwi/dui","NA","arrest","2023-02-17","23699","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driver failure to obey properly placed traffic control device instructions; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-18"
"202","2023-00016224","injured/sick person","NA","cbe","2023-02-18","NA","NA","NA","NA","NA"
"203","2023-00016225","injured/sick person","NA","cbe","2023-02-17","NA","NA","NA","NA","NA"
"204","2023-00016229","injured/sick person","NA","cbe","2023-02-17","NA","NA","NA","NA","NA"
"205","2023-00016231","injured/sick person","NA","cbe","2023-02-18","NA","NA","NA","NA","NA"
"206","2023-00016232","cds violation","NA","cbe","2023-02-18","NA","NA","NA","NA","NA"
"207","2023-00016352","suspicious activity","NA","cbe","2023-02-13","NA","NA","NA","NA","NA"
"208","2023-00016386","injured/sick person","NA","cbe","2023-02-18","NA","NA","NA","NA","NA"
"209","2023-00016405","vandalism","NA","investigation pending","2023-02-14","NA","NA","NA","NA","NA"
"210","2023-00016419","cds violation","NA","active/pending","2023-02-18","NA","NA","NA","NA","NA"
"211","2023-00016420","theft","NA","investigation pending","2023-02-18","NA","NA","NA","NA","NA"
"212","2023-00016491","other incident","NA","cbe","2023-02-18","NA","NA","NA","NA","NA"
"213","2023-00016495","injured/sick person","NA","cbe","2023-02-19","NA","NA","NA","NA","NA"
"214","2023-00016496","injured/sick person","NA","cbe","2023-02-18","NA","NA","NA","NA","NA"
"215","2023-00016502","injured/sick person","NA","cbe","2023-02-19","NA","NA","NA","NA","NA"
"216","2023-00016506","injured/sick person","NA","cbe","2023-02-18","NA","NA","NA","NA","NA"
"217","2023-00016915","other incident","NA","unfounded","2023-02-19","NA","NA","NA","NA","NA"
"218","2023-00017059","assault","NA","active/pending","2023-02-20","NA","NA","NA","NA","NA"
"219","2023-00017070","theft","NA","investigation pending","2023-02-17","NA","NA","NA","NA","NA"
"220","2023-00017340","trespassing","NA","arrest","2023-02-20","23732","School Trespassing On Ground","black","male","2023-03-27"
"221","2023-00017363","theft","NA","investigation pending","2023-02-20","NA","NA","NA","NA","NA"
"222","2023-00017403","accident - departmental","NA","cbe","2023-02-21","NA","NA","NA","NA","NA"
"223","2023-00017404","threat assessment","NA","active/pending","2023-02-13","NA","NA","NA","NA","NA"
"224","2023-00017414","injured/sick person","NA","cbe","2023-02-21","NA","NA","NA","NA","NA"
"225","2023-00017454","dwi/dui","NA","arrest","2023-02-22","23690","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver starting veh. from (stopped, standing, parked) position when unsafe; Failure to attach veh. reg. plates at front and rear; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","","","2023-02-22"
"226","2023-00017459","recovered stolen property","NA","cbe","2023-02-22","NA","NA","NA","NA","NA"
"227","2023-00017546","theft","NA","unfounded","2023-02-20","NA","NA","NA","NA","NA"
"228","2023-00017560","injured/sick person","NA","cbe","2023-02-22","NA","NA","NA","NA","NA"
"229","2023-00017626","theft","NA","investigation pending","2023-02-22","NA","NA","NA","NA","NA"
"230","2023-00017676","theft","NA","investigation pending","2022-12-23","NA","NA","NA","NA","NA"
"231","2023-00017701","theft","NA","investigation pending","2023-02-21","NA","NA","NA","NA","NA"
"232","2023-00017855","injured/sick person","NA","cbe","2023-02-22","NA","NA","NA","NA","NA"
"233","2023-00017944","other incident","NA","active/pending","2023-02-22","NA","NA","NA","NA","NA"
